Displacement,Force
(mm),(kN)
"1.4265","96.3038"
"1.4283","96.3783"
"1.4298","96.4335"
"1.4312","96.4898"
"1.4330","96.5670"
"1.4349","96.6574"
"1.4368","96.7414"
"1.4383","96.8013"
"1.4398","96.8538"
"1.4414","96.9236"
"1.4433","97.0071"
"1.4451","97.0881"
"1.4466","97.1488"
"1.4480","97.1948"
"1.4496","97.2555"
"1.4514","97.3384"
"1.4533","97.4236"
"1.4550","97.4967"
"1.4564","97.5499"
"1.4579","97.6061"
"1.4597","97.6870"
"1.4617","97.7769"
"1.4635","97.8553"
"1.4650","97.9120"
"1.4664","97.9624"
"1.4681","98.0303"
"1.4699","98.1133"
"1.4717","98.1912"
"1.4733","98.2493"
"1.4747","98.2971"
"1.4762","98.3562"
"1.4780","98.4357"
"1.4799","98.5204"
"1.4816","98.5912"
"1.4831","98.6430"
"1.4846","98.6999"
"1.4864","98.7787"
"1.4883","98.8660"
"1.4901","98.9449"
"1.4916","98.9989"
"1.4931","99.0470"
"1.4947","99.1157"
"1.4966","99.1980"
"1.4984","99.2752"
"1.5000","99.3333"
"1.5013","99.3777"
"1.5029","99.4355"
"1.5047","99.5162"
"1.5066","99.5993"
"1.5083","99.6684"
"1.5098","99.7207"
"1.5113","99.7763"
"1.5131","99.8530"
"1.5150","99.9389"
"1.5168","100.0120"
"1.5183","100.0625"
"1.5197","100.1121"
"1.5214","100.1805"
"1.5233","100.2599"
"1.5251","100.3351"
"1.5266","100.3878"
"1.5280","100.4308"
"1.5295","100.4912"
"1.5314","100.5712"
"1.5333","100.6518"
"1.5350","100.7184"
"1.5364","100.7663"
"1.5379","100.8195"
"1.5397","100.8956"
"1.5417","100.9778"
"1.5434","101.0476"
"1.5449","101.0967"
"1.5464","101.1430"
"1.5481","101.2089"
"1.5500","101.2866"
"1.5517","101.3557"
"1.5532","101.4045"
"1.5546","101.4474"
"1.5562","101.5053"
"1.5581","101.5810"
"1.5600","101.6582"
"1.5616","101.7176"
"1.5631","101.7606"
"1.5646","101.8137"
"1.5664","101.8873"
"1.5684","101.9663"
"1.5701","102.0331"
"1.5716","102.0772"
"1.5731","102.1223"
"1.5748","102.1888"
"1.5766","102.2627"
"1.5784","102.3307"
"1.5799","102.3789"
"1.5813","102.4182"
"1.5829","102.4753"
"1.5848","102.5511"
"1.5866","102.6245"
"1.5883","102.6805"
"1.5897","102.7229"
"1.5912","102.7742"
"1.5931","102.8481"
"1.5950","102.9274"
"1.5967","102.9911"
"1.5982","103.0351"
"1.5997","103.0823"
"1.6014","103.1484"
"1.6033","103.2243"
"1.6051","103.2916"
"1.6066","103.3355"
"1.6080","103.3756"
"1.6096","103.4365"
"1.6115","103.5104"
"1.6133","103.5824"
"1.6149","103.6383"
"1.6164","103.6789"
"1.6180","103.7322"
"1.6198","103.8080"
"1.6217","103.8844"
"1.6234","103.9455"
"1.6249","103.9887"
"1.6264","104.0349"
"1.6281","104.1031"
"1.6300","104.1792"
"1.6318","104.2430"
"1.6332","104.2854"
"1.6346","104.3251"
"1.6363","104.3831"
"1.6381","104.4569"
"1.6400","104.5289"
"1.6415","104.5807"
"1.6430","104.6219"
"1.6446","104.6771"
"1.6464","104.7508"
"1.6484","104.8289"
"1.6501","104.8923"
"1.6515","104.9345"
"1.6531","104.9820"
"1.6548","105.0512"
"1.6567","105.1240"
"1.6585","105.1862"
"1.6599","105.2272"
"1.6613","105.2651"
"1.6629","105.3242"
"1.6648","105.3992"
"1.6666","105.4698"
"1.6682","105.5234"
"1.6697","105.5653"
"1.6713","105.6190"
"1.6731","105.6947"
"1.6751","105.7728"
"1.6768","105.8318"
"1.6782","105.8736"
"1.6798","105.9217"
"1.6815","105.9877"
"1.6834","106.0591"
"1.6851","106.1200"
"1.6865","106.1594"
"1.6879","106.1997"
"1.6896","106.2610"
"1.6915","106.3337"
"1.6933","106.4031"
"1.6948","106.4541"
"1.6963","106.4945"
"1.6979","106.5523"
"1.6998","106.6292"
"1.7017","106.7045"
"1.7034","106.7623"
"1.7049","106.8037"
"1.7064","106.8506"
"1.7082","106.9189"
"1.7100","106.9917"
"1.7117","107.0499"
"1.7132","107.0898"
"1.7146","107.1314"
"1.7163","107.1925"
"1.7182","107.2667"
"1.7200","107.3364"
"1.7215","107.3856"
"1.7230","107.4281"
"1.7247","107.4869"
"1.7266","107.5615"
"1.7285","107.6360"
"1.7301","107.6902"
"1.7315","107.7275"
"1.7331","107.7772"
"1.7349","107.8460"
"1.7367","107.9159"
"1.7384","107.9737"
"1.7398","108.0119"
"1.7412","108.0515"
"1.7429","108.1145"
"1.7448","108.1885"
"1.7466","108.2562"
"1.7482","108.3057"
"1.7496","108.3471"
"1.7513","108.4053"
"1.7532","108.4816"
"1.7551","108.5533"
"1.7567","108.6050"
"1.7581","108.6451"
"1.7597","108.6954"
"1.7615","108.7642"
"1.7634","108.8355"
"1.7650","108.8898"
"1.7664","108.9258"
"1.7679","108.9696"
"1.7696","109.0351"
"1.7715","109.1084"
"1.7733","109.1751"
"1.7749","109.2203"
"1.7763","109.2608"
"1.7780","109.3215"
"1.7799","109.3949"
"1.7818","109.4646"
"1.7834","109.5156"
"1.7848","109.5538"
"1.7864","109.6045"
"1.7882","109.6750"
"1.7901","109.7434"
"1.7917","109.7966"
"1.7931","109.8349"
"1.7946","109.8777"
"1.7963","109.9429"
"1.7982","110.0181"
"1.8000","110.0818"
"1.8015","110.1249"
"1.8029","110.1665"
"1.8046","110.2263"
"1.8065","110.3003"
"1.8084","110.3718"
"1.8100","110.4214"
"1.8115","110.4593"
"1.8131","110.5123"
"1.8149","110.5813"
"1.8167","110.6500"
"1.8184","110.7033"
"1.8198","110.7395"
"1.8212","110.7830"
"1.8230","110.8492"
"1.8249","110.9213"
"1.8267","110.9834"
"1.8282","111.0264"
"1.8296","111.0665"
"1.8313","111.1277"
"1.8333","111.2031"
"1.8351","111.2715"
"1.8367","111.3195"
"1.8381","111.3575"
"1.8397","111.4098"
"1.8416","111.4800"
"1.8434","111.5488"
"1.8450","111.5990"
"1.8464","111.6343"
"1.8479","111.6784"
"1.8497","111.7434"
"1.8515","111.8140"
"1.8533","111.8750"
"1.8548","111.9169"
"1.8562","111.9580"
"1.8580","112.0203"
"1.8599","112.0943"
"1.8617","112.1619"
"1.8633","112.2089"
"1.8648","112.2473"
"1.8664","112.3018"
"1.8683","112.3726"
"1.8701","112.4402"
"1.8717","112.4891"
"1.8731","112.5233"
"1.8746","112.5681"
"1.8764","112.6340"
"1.8782","112.7054"
"1.8800","112.7655"
"1.8814","112.8067"
"1.8829","112.8485"
"1.8847","112.9128"
"1.8866","112.9877"
"1.8885","113.0540"
"1.8900","113.0993"
"1.8914","113.1383"
"1.8931","113.1940"
"1.8950","113.2641"
"1.8968","113.3303"
"1.8983","113.3767"
"1.8997","113.4097"
"1.9012","113.4557"
"1.9030","113.5231"
"1.9049","113.5940"
"1.9066","113.6522"
"1.9081","113.6924"
"1.9096","113.7357"
"1.9113","113.8000"
"1.9133","113.8745"
"1.9151","113.9416"
"1.9166","113.9868"
"1.9181","114.0259"
"1.9198","114.0837"
"1.9216","114.1524"
"1.9234","114.2164"
"1.9250","114.2611"
"1.9263","114.2955"
"1.9279","114.3435"
"1.9297","114.4119"
"1.9316","114.4818"
